,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Rilevanza per gli stakeholder,Unknown,153.46820809248555,0.0,7.0,0.0,7.0,53.42683485071969
1,Delle risorse,Unknown,0.0,121.54566744730678,0.0,1.0,0.0,33.43675296271806
2,Welfare per i dipendenti,Unknown,55.202312138728324,142.97423887587823,4.0,2.0,4.0,12.287438753539146
3,Delle,Unknown,38.72832369942196,185.1288056206089,2.0,3.0,2.0,49.00098333418102
4,Imprenditoriale,Unknown,67.6300578034682,192.1545667447307,5.0,4.0,5.0,35.302120950104275
5,Sostegno e accelerazione di rilevanza,Unknown,16.76300578034682,221.31147540983608,1.0,5.0,1.0,85.41359374735093
6,Omunicazione,Unknown,300.0,231.85011709601872,10.0,6.0,10.0,0.0
7,Diffusione della cultura,Unknown,71.67630057803468,231.85011709601872,6.0,6.0,6.0,57.625926114304114
8,Corruzione,Unknown,43.35260115606936,271.1943793911007,3.0,8.0,3.0,100.0
9,Rafforzamento del territoriale,Unknown,190.17341040462426,280.327868852459,8.0,9.0,8.0,13.779394062696026
10,Interventi per lo sviluppo,Unknown,191.32947976878611,300.0,9.0,10.0,9.0,25.374260380109515
