,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Performance economica,Unknown,188.8081395348837,0.0,7.333333333333333,0.0,7.333333333333333,83.45163846869507
1,E dialogo,Unknown,159.8110465116279,21.561051004636795,6.0,0.6666666666666666,6.0,57.6022535405396
2,Dei dipendenti,Unknown,193.16860465116278,69.08809891808346,8.0,1.3333333333333333,8.0,50.35767203059852
3,Gestione soddisfazione del cliente,Unknown,204.9418604651163,91.34466769706336,8.666666666666666,2.0,8.666666666666666,44.99776024258297
4,Degli impatti ambientali diretti,Sociale,152.39825581395348,98.76352395672333,5.333333333333333,2.6666666666666665,5.333333333333333,14.340133007132764
5,Responsabile tutela e della catena benessere di fornitura,Business ESG,18.313953488372093,107.80525502318392,0.6666666666666666,3.333333333333333,0.6666666666666666,32.67289204369249
6,Adeguatezza e trasparenza,Unknown,233.9389534883721,119.16537867078824,9.333333333333332,4.0,9.333333333333332,45.59922125357501
7,Accessibilit,Ambientale,103.77906976744185,129.3663060278207,4.0,4.666666666666666,4.0,0.0
8,Qualit del servizio,Unknown,183.57558139534885,139.56723338485318,6.666666666666666,5.333333333333333,6.666666666666666,9.418352227697179
9,Indiretti e climate change,Business ESG,76.74418604651163,168.31530139103555,2.0,6.0,2.0,33.7362599496916
10,Credito,Business ESG,103.77906976744185,169.01081916537868,4.0,6.666666666666666,4.666666666666666,20.269460046173464
11,Investimenti responsabili,Ambientale,27.47093023255814,188.71715610510046,1.3333333333333333,7.333333333333333,1.3333333333333333,69.3597739567899
12,Integrit nella condotta,Unknown,300.0,198.2225656877898,10.0,8.0,10.0,38.95455015333724
13,Inclusione impatti ambientali finanziaria,Business ESG,0.0,221.17465224111282,0.0,8.666666666666666,0.0,100.0
14,Sostegno,Unknown,102.47093023255815,244.82225656877898,3.333333333333333,9.333333333333332,3.333333333333333,59.69918334998793
15,Supporto alla comunit,Sociale,98.76453488372093,300.0,2.6666666666666665,10.0,2.6666666666666665,89.80548568278142
